chem_id,chem_name,induces_n,inhibits_n,induces_genes,inhibits_genes,badge
MESH:C076994,perfluorooctane sulfonic acid,5,10,CYP2C19|CYP3A4|SLCO1B1|UGT1A1|UGT2B7,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|SLCO1B1|UGT1A1|UGT2B7,Check DDI: mixed
MESH:D011794,Quercetin,7,10,ABCB1|CYP1A2|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT1A1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|SLCO1B1|UGT1A1|UGT2B7,Check DDI: mixed
MESH:D012293,Rifampin,10,5,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|SLCO1B1|UGT1A1|UGT2B7,ABCB1|CYP1A2|CYP2C9|CYP3A4|SLCO1B1,Check DDI: mixed
MESH:D000082,Acetaminophen,6,9,ABCB1|CYP1A2|CYP2C9|CYP3A4|CYP3A5|UGT1A1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT1A1|UGT2B7,Check DDI: mixed
MESH:D016604,Aflatoxin B1,8,9,ABCB1|CYP1A2|CYP2C9|CYP2D6|CYP3A4|CYP3A5|UGT1A1|UGT2B7,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT1A1|UGT2B7,Check DDI: mixed
MESH:C006780,bisphenol A,9,5,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|UGT1A1|UGT2B7,CYP1A2|CYP2C19|CYP3A4|SLCO1B1|UGT1A1,Check DDI: mixed
MESH:D002635,Chenodeoxycholic Acid,4,9,CYP1A2|CYP3A4|SLCO1B1|UGT1A1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT1A1|UGT2B7,Check DDI: mixed
MESH:D016572,Cyclosporine,3,9,ABCB1|CYP3A4|CYP3A5,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT1A1|UGT2B7,Check DDI: mixed
MESH:D007654,Ketoconazole,7,9,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|SLCO1B1|UGT1A1,Check DDI: mixed
MESH:D019319,Okadaic Acid,3,9,ABCB1|CYP1A2|SLCO1B1,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|SLCO1B1|UGT1A1|UGT2B7,Check DDI: mixed
MESH:C017947,sodium arsenite,4,9,ABCB1|CYP1A2|CYP3A4|UGT2B7,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|SLCO1B1|UGT2B7,Check DDI: mixed
MESH:D014260,Triclosan,9,1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|UGT1A1|UGT2B7,SLCO1B1,Check DDI: mixed
MESH:D014635,Valproic Acid,9,9,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|SLCO1B1|UGT1A1|UGT2B7,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|SLCO1B1|UGT2B7,Check DDI: mixed
MESH:C090768,"1-(4-hydroxyphenyl)-1,2-diphenyl-1-butene",8,1,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|UGT1A1|UGT2B7,CYP2D6,Check DDI: mixed
MESH:D000069446,Atazanavir Sulfate,2,8,ABCB1|CYP3A4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT1A1,Check DDI: mixed
MESH:D001564,Benzo(a)pyrene,8,8,ABCB1|CYP1A2|CYP2C19|CYP2D6|CYP3A4|CYP3A5|UGT1A1|UGT2B7,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|SLCO1B1|UGT1A1,Check DDI: mixed
MESH:D002220,Carbamazepine,8,2,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT1A1,ABCB1|CYP3A4,Check DDI: mixed
MESH:D003840,Deoxycholic Acid,4,8,ABCB1|CYP1A2|CYP3A4|SLCO1B1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT1A1,Check DDI: mixed
MESH:D004997,Ethinyl Estradiol,8,6,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|UGT1A1|UGT2B7,ABCB1|CYP1A2|CYP2C19|CYP3A4|UGT1A1|UGT2B7,Check DDI: mixed
MESH:D005978,Glutathione,8,6,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|SLCO1B1,ABCB1|CYP1A2|CYP2C9|CYP2D6|CYP3A4|CYP3A5,Check DDI: mixed
MESH:D005999,Glycochenodeoxycholic Acid,3,8,CYP1A2|CYP3A4|SLCO1B1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT1A1,Check DDI: mixed
MESH:D006000,Glycocholic Acid,2,8,CYP1A2|SLCO1B1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT1A1,Check DDI: mixed
MESH:D006002,Glycodeoxycholic Acid,2,8,CYP1A2|CYP3A4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT1A1,Check DDI: mixed
MESH:D047311,Luteolin,3,8,ABCB1|CYP1A2|UGT1A1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1|UGT1A1,Check DDI: mixed
MESH:C040015,myricetin,1,8,ABCB1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|UGT1A1|UGT2B7,Check DDI: mixed
MESH:C023036,perfluorooctanoic acid,6,8,CYP2C19|CYP3A4|CYP3A5|SLCO1B1|UGT1A1|UGT2B7,ABCB1|CYP1A2|CYP2C19|CYP2D6|CYP3A4|SLCO1B1|UGT1A1|UGT2B7,Check DDI: mixed
MESH:D010634,Phenobarbital,8,7,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|UGT1A1|UGT2B7,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|UGT2B7,Check DDI: mixed
MESH:C016583,4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone,7,1,CYP1A2|CYP2C19|CYP2D6|CYP3A4|CYP3A5|SLCO1B1|UGT2B7,UGT2B7,Check DDI: mixed
MESH:C016601,afimoxifene,7,4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,ABCB1|CYP3A4|CYP3A5|UGT1A1,Check DDI: mixed
MESH:D000638,Amiodarone,3,7,CYP2C9|CYP2D6|CYP3A4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,Check DDI: mixed
MESH:D016718,Arachidonic Acid,7,4,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|UGT1A1|UGT2B7,CYP1A2|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:C583074,bisphenol AF,7,2,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|UGT1A1|UGT2B7,UGT1A1|UGT2B7,Check DDI: mixed
MESH:C092451,CGP 52608,7,0,CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|UGT1A1|UGT2B7,"",Check DDI: ↑
MESH:D002746,Chlorpromazine,4,7,ABCB1|CYP1A2|CYP2D6|CYP3A4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,Check DDI: mixed
MESH:D004390,Chlorpyrifos,7,5,ABCB1|CYP1A2|CYP2C19|CYP2D6|CYP3A4|CYP3A5|UGT1A1,ABCB1|CYP1A2|CYP2C19|CYP2D6|CYP3A4,Check DDI: mixed
MESH:D000077144,Clopidogrel,7,7,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|SLCO1B1|UGT2B7,Check DDI: mixed
MESH:D003024,Clozapine,7,5,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|UGT1A1,ABCB1|CYP1A2|CYP2C9|CYP3A4|SLCO1B1,Check DDI: mixed
MESH:D003976,Diazinon,7,4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,ABCB1|CYP1A2|CYP2C19|CYP3A4,Check DDI: mixed
MESH:D004008,Diclofenac,7,6,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|UGT1A1|UGT2B7,CYP1A2|CYP2C9|CYP3A4|SLCO1B1|UGT1A1|UGT2B7,Check DDI: mixed
MESH:D004642,Emodin,5,7,CYP1A2|CYP2C19|CYP3A4|CYP3A5|UGT1A1,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|UGT2B7,Check DDI: mixed
MESH:D004958,Estradiol,7,5,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|UGT1A1|UGT2B7,ABCB1|CYP1A2|CYP2C9|CYP3A4|UGT1A1,Check DDI: mixed
MESH:D007069,Ifosfamide,7,2,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,CYP3A4|CYP3A5,Check DDI: mixed
MESH:C006552,kaempferol,4,7,ABCB1|CYP1A2|CYP3A4|UGT1A1,ABCB1|CYP1A2|CYP2C9|CYP3A4|SLCO1B1|UGT1A1|UGT2B7,Check DDI: mixed
MESH:C070840,licochalcone A,0,7,"",CYP1A2|CYP2C19|CYP2C9|CYP3A4|SLCO1B1|UGT1A1|UGT2B7,Check DDI: ↓
MESH:C013592,mangiferin,3,7,ABCB1|CYP1A2|UGT1A1,ABCB1|CYP1A2|CYP2C9|CYP2D6|CYP3A4|UGT1A1|UGT2B7,Check DDI: mixed
MESH:D010936,Plant Extracts,5,7,ABCB1|CYP1A2|CYP2D6|CYP3A4|UGT2B7,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,Check DDI: mixed
MESH:D013629,Tamoxifen,7,4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,ABCB1|CYP2D6|CYP3A4|CYP3A5,Check DDI: mixed
MESH:D013749,Tetrachlorodibenzodioxin,7,6,ABCB1|CYP1A2|CYP2C19|CYP3A4|CYP3A5|UGT1A1|UGT2B7,CYP1A2|CYP2C19|CYP2C9|CYP3A4|SLCO1B1|UGT1A1,Check DDI: mixed
MESH:D013988,Ticlopidine,7,7,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5|UGT1A1,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|SLCO1B1|UGT2B7,Check DDI: mixed
MESH:D014028,Tobacco Smoke Pollution,5,7,CYP1A2|CYP2C9|CYP3A5|UGT1A1|UGT2B7,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5|SLCO1B1,Check DDI: mixed
MESH:C495657,"1,1,1-trichloro-2-(4-hydroxyphenyl)-2-(4-methoxyphenyl)ethane",6,0,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,"",Check DDI: ↑
MESH:C035342,"1,4-naphthoquinone",6,0,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,"",Check DDI: ↑
MESH:C029350,1-naphthol,6,1,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,CYP1A2,Check DDI: mixed
MESH:C586542,2'-(glutathion-S-yl)-deschlorodiclofenac,6,1,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,CYP3A4,Check DDI: mixed
MESH:D019324,beta-Naphthoflavone,3,6,CYP1A2|CYP3A4|UGT1A1,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,Check DDI: mixed
MESH:D020148,Butyric Acid,6,1,ABCB1|CYP1A2|CYP2C9|CYP2D6|CYP3A5|UGT1A1,CYP2C9,Check DDI: mixed
