gene_symbol,inc,dec,total_expr,inc_frac,dec_frac,balance_flag
BCL2,525,1702,2227,0.236,0.764,balanced
TNF,1746,414,2160,0.808,0.192,inc_majority
BAX,1647,289,1936,0.851,0.149,inc_majority
CXCL8,1501,327,1828,0.821,0.179,inc_majority
TP53,1380,382,1762,0.783,0.217,balanced
HMOX1,1463,294,1757,0.833,0.167,inc_majority
IL1B,1442,284,1726,0.835,0.165,inc_majority
CDPF1,1302,299,1601,0.813,0.187,inc_majority
CDKN1A,1301,291,1592,0.817,0.183,inc_majority
IL6,1278,299,1577,0.810,0.190,inc_majority
PTGS2,1158,302,1460,0.793,0.207,balanced
CYP1A1,1200,170,1370,0.876,0.124,inc_majority
NFE2L2,926,333,1259,0.736,0.264,balanced
CASP3,951,284,1235,0.770,0.230,balanced
CCND1,480,754,1234,0.389,0.611,balanced
VEGFA,679,334,1013,0.670,0.330,balanced
MMP9,582,359,941,0.618,0.382,balanced
NQO1,747,192,939,0.796,0.204,balanced
DDIT3,833,76,909,0.916,0.084,inc_majority
CYP3A4,776,98,874,0.888,0.112,inc_majority
HIF1A,630,227,857,0.735,0.265,balanced
FASN,599,231,830,0.722,0.278,balanced
FZR1,369,453,822,0.449,0.551,balanced
CDH1,356,450,806,0.442,0.558,balanced
CCL2,524,276,800,0.655,0.345,balanced
