gene_symbol,action_family,n_full,n_strict,pruned
A1BG,activates,15,15,0
A1BG,binds,4,4,0
A1BG,inhibits,15,15,0
A1BG,modifies,1,1,0
A1BG,other,4,,4
A1BG-AS1,activates,2,2,0
A1BG-AS1,inhibits,5,5,0
A1CF,activates,1,1,0
A1CF,binds,1,1,0
A1CF,inhibits,24,24,0
A1CF,modifies,2,2,0
A1CF,other,4,,4
A2M,activates,40,40,0
A2M,binds,7,7,0
A2M,inhibits,51,51,0
A2M,modifies,1,1,0
A2M,other,13,,13
A2M-AS1,activates,2,2,0
A2M-AS1,inhibits,8,8,0
A2M-AS1,other,1,,1
A2ML1,activates,13,13,0
A2ML1,inhibits,10,10,0
A2ML1,other,1,,1
A3GALT2,activates,5,3,2
A3GALT2,inhibits,3,3,0
A4GALT,activates,20,18,2
A4GALT,inhibits,16,16,0
A4GALT,modifies,2,2,0
A4GALT,other,4,,4
A4GNT,activates,1,1,0
A4GNT,inhibits,3,3,0
AAAS,activates,21,21,0
AAAS,inhibits,23,23,0
AAAS,other,1,,1
AACS,activates,21,21,0
AACS,inhibits,12,12,0
AACS,other,3,,3
AACSP1,activates,5,5,0
AACSP1,inhibits,3,3,0
AACSP1,other,1,,1
AADAC,activates,25,25,0
AADAC,inhibits,31,31,0
AADAC,other,1,,1
AADACL2,activates,5,5,0
AADACL2,inhibits,7,7,0
AADACL3,activates,3,3,0
AADACL3,modifies,1,1,0
AADACL4,activates,1,1,0
AADACL4,inhibits,2,2,0
AADACP1,activates,4,4,0
AADACP1,inhibits,8,8,0
AADACP1,other,1,,1
AADAT,activates,7,7,0
AADAT,inhibits,20,20,0
AADAT,other,3,,3
AAGAB,activates,13,13,0
AAGAB,inhibits,9,9,0
AAGAB,modifies,1,1,0
AAGAB,other,4,,4
AAK1,activates,32,32,0
AAK1,inhibits,29,29,0
AAK1,modifies,2,2,0
AAK1,other,4,,4
AAMDC,activates,28,28,0
AAMDC,inhibits,27,27,0
AAMDC,modifies,2,2,0
AAMDC,other,5,,5
AAMP,activates,24,22,2
AAMP,binds,1,1,0
AAMP,inhibits,14,14,0
AAMP,other,2,,2
AANAT,activates,3,3,0
AANAT,binds,1,1,0
AANAT,inhibits,3,3,0
AANAT,modifies,1,1,0
AANAT,other,2,,2
AAR2,activates,15,15,0
