gene_symbol,chem_id,chem_name,action_norm,action_family
A1BG,MESH:C033674,benazol P,affects^expression,other
A1BG,MESH:D008628,Mercury,affects^expression,other
A1BG,MESH:D013749,Tetrachlorodibenzodioxin,affects^expression,other
A1BG,MESH:D014635,Valproic Acid,affects^expression,other
A1CF,MESH:C027579,periodate-oxidized adenosine,affects^expression,other
A1CF,MESH:D006861,Hydrogen Peroxide,affects^expression,other
A1CF,MESH:D014635,Valproic Acid,affects^expression,other
A1CF,MESH:D016604,Aflatoxin B1,affects^expression,other
A2M,MESH:C005445,triphenyl phosphate,affects^expression,other
A2M,MESH:C006780,bisphenol A,affects^expression,other
A2M,MESH:C007738,fluoranthene,affects^cotreatment|affects^expression,other
A2M,MESH:C013320,tris(2-butoxyethyl) phosphate,affects^expression,other
A2M,MESH:C026486,"1,2,5,6-dibenzanthracene",affects^cotreatment|affects^expression,other
A2M,MESH:C041507,1-methylphenanthrene,affects^cotreatment|affects^expression,other
A2M,MESH:C041517,"dibenzo(a,l)pyrene",affects^cotreatment|affects^expression,other
A2M,MESH:D001564,Benzo(a)pyrene,affects^cotreatment|affects^expression,other
A2M,MESH:D010042,Ouabain,affects^expression,other
A2M,MESH:D010634,Phenobarbital,affects^expression,other
A2M,MESH:D014028,Tobacco Smoke Pollution,affects^expression,other
A2M,MESH:D014635,Valproic Acid,affects^expression,other
A2M,MESH:D024483,Vitamin K 3,affects^expression,other
A2M-AS1,MESH:D014635,Valproic Acid,affects^expression,other
A2ML1,MESH:D014028,Tobacco Smoke Pollution,affects^expression,other
A3GALT2,MESH:D000393,Air Pollutants,affects^expression|increases^abundance,activates
A3GALT2,MESH:D010126,Ozone,affects^expression|increases^abundance,activates
A4GALT,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
A4GALT,MESH:D000077209,Decitabine,affects^expression,other
A4GALT,MESH:D002235,Carbofuran,affects^response to substance,other
A4GALT,MESH:D002945,Cisplatin,affects^expression,other
