gene_symbol,action_family,n_edges,chem_id,chem_name,action_norm
APOE,activates,73,MESH:C049235,11-dehydro-thromboxane B2,increases^abundance|increases^reaction
APOE,activates,73,MESH:C425784,2-(4-amino-3-methylphenyl)-5-fluorobenzothiazole,increases^expression
APOE,activates,73,MESH:C117220,3-nitrobenzanthrone,increases^expression
APOE,activates,73,MESH:C459179,"4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide",affects^cotreatment|increases^expression
APOE,activates,73,MESH:C000590451,abemaciclib,increases^expression
APOE,activates,73,MESH:D000393,Air Pollutants,increases^abundance|increases^expression
APOE,activates,73,MESH:D016718,Arachidonic Acid,increases^abundance|increases^reaction
APOE,activates,73,MESH:C000228,aristolochic acid I,increases^expression
APOE,activates,73,MESH:D001151,Arsenic,increases^response to substance
APOE,activates,73,MESH:D001564,Benzo(a)pyrene,increases^methylation
APOE,activates,73,MESH:D001629,Bezafibrate,increases^expression
APOE,activates,73,MESH:C006780,bisphenol A,increases^expression
APOE,activates,73,MESH:C583074,bisphenol AF,increases^expression
APOE,activates,73,MESH:C492482,bisphenol B,increases^expression
APOE,activates,73,MESH:C000611646,bisphenol F,increases^expression
APOE,activates,73,MESH:C543008,bisphenol S,increases^expression
APOE,activates,73,MESH:D002110,Caffeine,increases^phosphorylation
APOE,activates,73,MESH:C026690,cerous chloride,affects^cotreatment|increases^expression
APOE,activates,73,MESH:D008076,"Cholesterol, HDL",increases^abundance
APOE,activates,73,MESH:C113861,corosolic acid,increases^expression
APOE,activates,73,MESH:D003634,DDT,increases^expression
APOE,activates,73,MESH:D003907,Dexamethasone,increases^expression
APOE,activates,73,MESH:D003633,Dichlorodiphenyl Dichloroethylene,increases^response to substance
APOE,activates,73,MESH:D004054,Diethylstilbestrol,increases^expression
APOE,activates,73,MESH:C516138,dorsomorphin,affects^cotreatment|increases^expression
APOE,activates,73,MESH:C118739,entinostat,affects^cotreatment|increases^expression
APOE,activates,73,MESH:C118739,entinostat,increases^expression
APOE,activates,73,MESH:C029451,ferrous chloride,increases^expression
APOE,activates,73,MESH:D005459,Fluorides,increases^expression
APOE,activates,73,MESH:C000720117,fluorotelomer sulfonic acids,increases^expression
APOE,activates,73,MESH:D000077340,Fluvastatin,increases^expression
APOE,activates,73,MESH:C000713927,ginger extract,increases^abundance|increases^expression
APOE,activates,73,MESH:C577920,GSK-2816126,increases^expression
APOE,activates,73,MESH:C473027,GW 3965,increases^expression|increases^secretion
APOE,activates,73,MESH:C473027,GW 3965,increases^expression
APOE,activates,73,MESH:D019161,Hydroxymethylglutaryl-CoA Reductase Inhibitors,increases^response to substance
APOE,activates,73,MESH:C492448,ICG 001,increases^expression
APOE,activates,73,MESH:D007501,Iron,increases^response to substance
APOE,activates,73,MESH:D064747,Lansoprazole,increases^expression
APOE,activates,73,MESH:C028521,lanthanum chloride,affects^cotreatment|increases^expression
APOE,activates,73,MESH:C028521,lanthanum chloride,increases^expression
APOE,activates,73,MESH:C541528,licochalcone B,increases^expression
APOE,activates,73,MESH:C442865,"lipopolysaccharide, Helicobacter pylori",increases^expression
APOE,activates,73,MESH:C000723530,lly-283,increases^expression
APOE,activates,73,MESH:C029938,nickel sulfate,increases^expression
APOE,activates,73,MESH:D009822,"Oils, Volatile",increases^abundance|increases^expression
APOE,activates,73,MESH:D019319,Okadaic Acid,increases^expression
APOE,activates,73,MESH:C500026,palbociclib,increases^expression
APOE,activates,73,MESH:D052638,Particulate Matter,increases^abundance|increases^expression
APOE,activates,73,MESH:C086401,pentabromodiphenyl ether,increases^expression
APOE,activates,73,MESH:C046012,pentanal,increases^expression
APOE,activates,73,MESH:C023036,perfluorooctanoic acid,increases^expression
APOE,activates,73,MESH:D010936,Plant Extracts,increases^expression
APOE,activates,73,MESH:C060540,polyhexamethyleneguanidine,increases^expression
APOE,activates,73,MESH:C005556,propionaldehyde,increases^expression
APOE,activates,73,MESH:D011794,Quercetin,increases^expression
APOE,activates,73,MESH:D000077185,Resveratrol,increases^expression
APOE,activates,73,MESH:D000077154,Rosiglitazone,increases^expression
APOE,activates,73,MESH:D012524,Sarin,increases^expression
APOE,activates,73,MESH:D012643,Selenium,increases^expression
APOE,activates,73,MESH:C017947,sodium arsenite,increases^expression
APOE,activates,73,MESH:D012970,Sodium Glutamate,increases^expression
APOE,activates,73,MESH:C423915,T0901317,increases^expression
APOE,activates,73,MESH:D020122,tert-Butylhydroperoxide,increases^expression
APOE,activates,73,MESH:D013749,Tetrachlorodibenzodioxin,increases^expression
APOE,activates,73,MESH:D014028,Tobacco Smoke Pollution,increases^expression
APOE,activates,73,MESH:D014108,Tosylphenylalanyl Chloromethyl Ketone,increases^reaction|increases^secretion
APOE,activates,73,MESH:D014108,Tosylphenylalanyl Chloromethyl Ketone,increases^expression|increases^reaction
APOE,activates,73,MESH:D014212,Tretinoin,increases^expression
APOE,activates,73,MESH:D014282,Trihexyphenidyl,increases^response to substance
APOE,activates,73,MESH:D000077288,Troglitazone,increases^expression
APOE,activates,73,MESH:D014331,Tropicamide,increases^response to substance
