chem_id,chem_name,top3
MESH:C534883,10074-G5,Signal Transduction (2); Generic Transcription Pathway (2); Cellular responses to stress (2)
MESH:C112297,"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",Neuronal System (3); Potassium Channels (3); Voltage gated Potassium channels (3)
MESH:C004822,"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",Metabolism (1); Biological oxidations (1); Phase I - Functionalization of compounds (1)
MESH:C039775,"10,11-dihydro-10-hydroxycarbamazepine",Drug ADME (2); Metabolism (1); Biological oxidations (1)
MESH:C496879,103D5R,Cytokine Signaling in Immune system (3); Signal Transduction (3); Cell Cycle (3)
MESH:C553100,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,"Hemostasis (4); Platelet activation, signaling and aggregation (3); Platelet Aggregation (Plug Formation) (3)"
MESH:C532038,10-(6'-plastoquinonyl)decyltriphenylphosphonium,Disease (4); Metabolism of proteins (4); Post-translational protein modification (4)
MESH:C095360,10-deacetylpaclitaxel,Abacavir transmembrane transport (1); Abacavir ADME (1); Transport of small molecules (1)
MESH:C067795,10-decarbamoylmitomycin C,Immune System (12); Signal Transduction (11); Cytokine Signaling in Immune system (9)
MESH:C403065,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,Hemostasis (2); Immune System (2); Developmental Biology (1)
MESH:C010161,10-formyltetrahydropteroylglutamic acid,Metabolism (1); Metabolism of folate and pterines (1); Metabolism of water-soluble vitamins and cofactors (1)
MESH:C013567,10-hydroxynortriptyline,Metabolism (1); Biological oxidations (1); Cytochrome P450 - arranged by substrate type (1)
MESH:C065719,10-hydroxywarfarin,Metabolism (3); Biological oxidations (3); Drug ADME (3)
MESH:C554291,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",Signal Transduction (4); Disease (3); Immune System (3)
MESH:C476829,"10-methoxy-5-(2-propenyl)-2,5-dihydro-2,2,4-trimethyl-1H-(1)benzopyrano(3,4-f)quinoline",Generic Transcription Pathway (1); Nuclear Receptor transcription pathway (1); RNA Polymerase II Transcription (1)
MESH:C549914,"10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-(1,4)diazepino(5',6'-4,5)thieno(3,2-f)quinolin-8-one",Cytokine Signaling in Immune system (2); Immune System (2); Signaling by Interleukins (2)
MESH:C521487,10-nitro-oleic acid,Immune System (13); Signal Transduction (12); Cytokine Signaling in Immune system (11)
MESH:C552819,10-(octyloxy)decyl-2-(trimethylammonium)ethyl phosphate,Signal Transduction (8); Disease (8); Immune System (7)
MESH:C471674,"10'(Z),13'(E),15'(E)-heptadecatrienylhydroquinone",Signal Transduction (7); Disease (5); Generic Transcription Pathway (5)
MESH:C025205,"1,10-phenanthroline",Metabolism (26); Signal Transduction (18); Immune System (17)
MESH:C490191,"11,11'-dideoxyverticilin",Metabolism (1); Glycerophospholipid biosynthesis (1); Synthesis of PI (1)
MESH:C046783,"11,12-epoxy-5,8,14-eicosatrienoic acid",Metabolism (8); Biological oxidations (5); Cytochrome P450 - arranged by substrate type (5)
MESH:C575715,"1,1,1,3,3,3-hexafluoro-2-(2-fluoro-4'-((4-(pyridin-4-ylmethyl)piperazin-1-yl)methyl)-(1,1'-biphenyl)-4-yl)propan-2-ol",Generic Transcription Pathway (1); RNA Polymerase II Transcription (1); Gene expression (Transcription) (1)
MESH:C527346,"11,15-dioxo-9-hydroxy-2,3,4,5-tetranorprostan-1,20-dioic acid",COX reactions (1); Metabolism (1); Biological oxidations (1)
