chem_id,chem_name,n_pruned
MESH:C005445,triphenyl phosphate,7409
MESH:D014635,Valproic Acid,6718
MESH:C065087,di-n-butylphosphoric acid,5761
MESH:D008070,Lipopolysaccharides,2531
MESH:D014028,Tobacco Smoke Pollution,2327
MESH:C006780,bisphenol A,2298
MESH:D000393,Air Pollutants,2131
MESH:D010126,Ozone,2067
MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",1999
MESH:D006861,Hydrogen Peroxide,1995
MESH:D002220,Carbamazepine,1984
MESH:C044887,beta-methylcholine,1699
MESH:D007854,Lead,1614
MESH:D016604,Aflatoxin B1,1609
MESH:C012589,trichostatin A,1334
MESH:D002945,Cisplatin,1319
MESH:D000077209,Decitabine,1135
MESH:D013749,Tetrachlorodibenzodioxin,1119
MESH:D004317,Doxorubicin,1074
MESH:D010634,Phenobarbital,1045
MESH:D024483,Vitamin K 3,1032
MESH:D004958,Estradiol,966
MESH:C017947,sodium arsenite,913
MESH:C013320,tris(2-butoxyethyl) phosphate,862
MESH:D005472,Fluorouracil,671
MESH:D052638,Particulate Matter,642
MESH:D001151,Arsenic,597
MESH:C004648,testosterone enanthate,507
MESH:C585473,"theaflavin-3,3'-digallate",464
MESH:D001335,Vehicle Emissions,409
MESH:D017638,"Asbestos, Crocidolite",402
MESH:D004008,Diclofenac,381
MESH:C100187,chloropicrin,380
MESH:D001564,Benzo(a)pyrene,355
MESH:D011078,Polychlorinated Biphenyls,344
MESH:D000082,Acetaminophen,303
MESH:D009267,Naled,303
MESH:C472349,oxidized-L-alpha-1-palmitoyl-2-arachidonoyl-sn-glycero-3-phosphorylcholine,288
MESH:D000395,"Air Pollutants, Occupational",286
MESH:D013629,Tamoxifen,272
MESH:D016572,Cyclosporine,267
MESH:D015123,"7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide",257
MESH:D014212,Tretinoin,256
MESH:D009532,Nickel,248
MESH:C533410,eprenetapopt,241
MESH:D008727,Methotrexate,237
MESH:D019772,Topotecan,234
MESH:C005460,uranyl acetate,230
MESH:D014501,Uranium,229
MESH:C027579,periodate-oxidized adenosine,221
MESH:D017239,Paclitaxel,200
MESH:D005047,Etoposide,197
MESH:D014747,Vinblastine,193
MESH:C543008,bisphenol S,190
MESH:D005492,Folic Acid,189
MESH:D020849,Raloxifene Hydrochloride,186
MESH:D004997,Ethinyl Estradiol,185
MESH:D008942,Mitoxantrone,185
MESH:D000077204,Temozolomide,180
MESH:C061133,tamibarotene,178
MESH:D002330,Carmustine,173
MESH:D016685,Mitomycin,167
MESH:D015655,1-Methyl-4-phenylpyridinium,166
MESH:C008437,"2,2'-methylenebis(4-methyl-6-tert-butylphenol)",160
MESH:D000077237,Arsenic Trioxide,156
