gene_symbol,n_pruned
TP53,170
BCL2,148
BAX,137
TNF,128
CDPF1,101
CXCL8,101
CDKN1A,100
NFE2L2,100
ABCB1,97
IL1B,94
CASP3,92
HMOX1,90
CCND1,83
SERPINE1,79
CYP1A1,77
FASN,76
IL6,76
CAT,75
ESR1,71
AHR,70
HIF1A,70
GSTM1,69
FZR1,68
SOD2,68
MYC,67
CDH1,64
EGF,61
FGFR1,61
GSTP1,59
ICAM1,58
MMP9,58
PLAUR,57
EGR1,56
GSTT1,56
PARP1,56
PTGS2,56
SQSTM1,55
PPARG,54
BCL2L1,53
FOS,53
NFKB1,53
CCNA2,52
CTNNB1,52
CYP3A4,52
JUN,52
AKT1,51
DDIT3,51
GADD45A,50
NQO1,50
TYMS,50
NFKBIA,49
BIRC5,48
CASP8,48
EGFR,48
TNFRSF10B,48
SLC22A5,47
SLC38A1,47
INS,46
KRAS,45
MAPK1,45
MAPK3,45
PCNA,45
CASP1,44
CYP1A2,44
SOD1,44
ABCC1,43
RELA,43
ABCG2,42
SCD,42
VEGFA,42
CCNB1,41
IGFBP3,41
BRAF,40
CYP1B1,40
MKI67,40
APP,39
CD44,39
CYP2E1,39
FAS,39
FLG,39
CYP2C19,38
MMP2,38
XRCC1,38
CXXC1,37
CYP2D6,37
ERBB2,36
SPP1,36
ATF3,35
CDK1,35
CEBPB,35
IFNG,35
ABCC2,34
CYP3A5,34
DUSP12,34
FN1,34
MAPK8,34
PMAIP1,34
SLC7A11,34
VDR,34
AR,33
CASP9,33
CYP2C9,33
GCLC,33
GDF15,33
RB1,33
STAT3,33
DUSP1,32
F3,32
HLA-B,32
MDM2,32
MMP1,32
NR4A1,32
TGFB1,32
CYCS,31
SAT1,31
VIM,31
BECN1,30
CDKN1B,30
CPT1A,30
CREB1,30
HSPB1,30
IL4,30
ITGB1,30
MCL1,30
PTEN,30
SLC38A2,30
BRCA1,29
CCN2,29
DNAJB9,29
GDNF,29
GSTA1,29
INSIG1,29
MT1E,29
SLC6A3,29
ADRB2,28
ESR2,28
HSPA5,28
PPP1R15A,28
ATM,27
CCN1,27
CLU,27
ERCC1,27
H2AX,27
HSPD1,27
IL10,27
MR1,27
PON1,27
RRM2,27
SREBF1,27
TXNIP,27
ATF4,26
DDIT4,26
DKK1,26
FDFT1,26
GSK3B,26
MGMT,26
MLH1,26
OGG1,26
TIMP2,26
TNFSF10,26
TXNRD1,26
AKR1C3,25
BBC3,25
CCNE1,25
CYP2B6,25
FOXO3,25
FTH1,25
G0S2,25
HLA-A,25
HMGCR,25
IL1A,25
MT2A,25
PLAU,25
SIRT1,25
TCF7L2,25
TIMP1,25
TRIB3,25
AKT2,24
APOE,24
BIRC3,24
CHEK1,24
CYP19A1,24
EIF4A1,24
FBF1,24
GPX1,24
IGF1,24
LDLR,24
NOS2,24
NR1H3,24
PDK4,24
TOP2A,24
WNT5A,24
XIAP,24
XPC,24
AKAP12,23
ALB,23
ANXA1,23
BCL2L11,23
CDKN2A,23
CXCL1,23
