gene_symbol,hgnc_id,ensembl_gene_id,uniprot_id,aliases
A1BG,HGNC:5,ENSG00000121410,P04217,"ENSG00000121410,P04217"
A1BG-AS1,HGNC:37133,ENSG00000268895,,"A1BG-AS,A1BGAS,ENSG00000268895,FLJ23569,NCRNA00181"
A1CF,HGNC:24086,ENSG00000148584,Q9NQ94,"ACF,ACF64,ACF65,APOBEC1CF,ASP,ENSG00000148584,Q9NQ94"
A2M,HGNC:7,ENSG00000175899,P01023,"CPAMD5,ENSG00000175899,FWP007,P01023,S863-7"
A2M-AS1,HGNC:27057,ENSG00000245105,,ENSG00000245105
A2ML1,HGNC:23336,ENSG00000166535,A8K2U0,"A8K2U0,CPAMD9,ENSG00000166535,FLJ25179,p170"
A2ML1-AS1,HGNC:41022,ENSG00000256661,,ENSG00000256661
A2ML1-AS2,HGNC:41523,ENSG00000256904,,ENSG00000256904
A3GALT2,HGNC:30005,ENSG00000184389,U3KPV4,"A3GALT2P,ENSG00000184389,IGB3S,IGBS3S,U3KPV4"
A4GALT,HGNC:18149,ENSG00000128274,Q9NPC4,"A14GALT,ENSG00000128274,Gb3S,P(k),P1,Q9NPC4"
A4GNT,HGNC:17968,ENSG00000118017,Q9UNA3,"ENSG00000118017,Q9UNA3,alpha4GnT"
AAAS,HGNC:13666,ENSG00000094914,Q9NRG9,"ENSG00000094914,Q9NRG9"
AACS,HGNC:21298,ENSG00000081760,Q86V21,"ACSF1,ENSG00000081760,FLJ12389,Q86V21,SUR-5"
AACSP1,HGNC:18226,ENSG00000250420,,"AACSL,ENSG00000250420"
AADAC,HGNC:17,ENSG00000114771,P22760,"CES5A1,DAC,ENSG00000114771,P22760"
AADACL2,HGNC:24427,ENSG00000197953,Q6P093,"ENSG00000197953,MGC72001,Q6P093"
AADACL2-AS1,HGNC:50301,ENSG00000242908,,ENSG00000242908
AADACL3,HGNC:32037,ENSG00000188984,Q5VUY0,"ENSG00000188984,OTTHUMG00000001887,Q5VUY0"
AADACL4,HGNC:32038,ENSG00000204518,Q5VUY2,"ENSG00000204518,OTTHUMG00000001889,Q5VUY2"
AADACP1,HGNC:50305,ENSG00000240602,,ENSG00000240602
AADAT,HGNC:17929,ENSG00000109576,Q8N5Z0,"ENSG00000109576,KAT2,KATII,KYAT2,Q8N5Z0"
AAGAB,HGNC:25662,ENSG00000103591,Q6PD74,"ENSG00000103591,FLJ11506,Q6PD74,p34"
AAK1,HGNC:19679,ENSG00000115977,Q2M2I8,"DKFZp686K16132,ENSG00000115977,KIAA1048,Q2M2I8"
AAMDC,HGNC:30205,ENSG00000087884,Q9H7C9,"C11orf67,CK067,ENSG00000087884,FLJ21035,PTD015,Q9H7C9"
AAMP,HGNC:18,ENSG00000127837,Q13685,"ENSG00000127837,Q13685"
AANAT,HGNC:19,ENSG00000129673,Q16613,"ENSG00000129673,Q16613,SNAT"
AAR2,HGNC:15886,ENSG00000131043,Q9Y312,"C20orf4,ENSG00000131043,Q9Y312,bA234K24.2"
AARD,HGNC:33842,ENSG00000205002,Q4LEZ3,"C8orf85,ENSG00000205002,LOC441376,Q4LEZ3"
AARS1,HGNC:20,ENSG00000090861,P49588,"AARS,AlaRS,CMT2N,ENSG00000090861,P49588"
AARS1P1,HGNC:49894,ENSG00000249038,,"AARSP1,ENSG00000249038"
AARS2,HGNC:21022,ENSG00000124608,Q5JTZ9,"AARSL,ENSG00000124608,KIAA1270,Q5JTZ9,bA444E17.1"
AARSD1,HGNC:28417,ENSG00000266967,Q9BTE6,"AlaXp,ENSG00000266967,MGC2744,Q9BTE6"
AARSD1P1,HGNC:54994,ENSG00000234969,,ENSG00000234969
AASDH,HGNC:23993,ENSG00000157426,Q4L235,"ACSF4,ENSG00000157426,LYS2,NRPS998,Q4L235"
AASDHPPT,HGNC:14235,ENSG00000149313,Q9NRN7,"AASD-PPT,ACPS,CGI-80,ENSG00000149313,LYS5,Q9NRN7"
AASDHPPT-AS1,HGNC:58262,ENSG00000254433,,ENSG00000254433
AASS,HGNC:17366,ENSG00000008311,Q9UDR5,"ENSG00000008311,LKR/SDH,LKRSDH,LORSDH,Q9UDR5"
AATBC,HGNC:51526,ENSG00000215458,,ENSG00000215458
AATF,HGNC:19235,ENSG00000275700,Q9NY61,"BFR2,CHE-1,CHE1,DED,ENSG00000275700,Q9NY61"
AATK,HGNC:21,ENSG00000181409,Q6ZMQ8,"AATYK,AATYK1,ENSG00000181409,KIAA0641,LMR1,LMTK1,PPP1R77,Q6ZMQ8"
AAVS1,HGNC:22,,,AAV
ABAT,HGNC:23,ENSG00000183044,P80404,"ENSG00000183044,GABA-T,GABAT,P80404"
ABCA1,HGNC:29,ENSG00000165029,O95477,"ABC1,ENSG00000165029,HDLDT1,O95477,TGD"
ABCA2,HGNC:32,ENSG00000107331,Q9BZC7,"ABC2,ENSG00000107331,Q9BZC7"
ABCA3,HGNC:33,ENSG00000167972,Q99758,"ABC-C,ABC3,ENSG00000167972,EST111653,LBM180,Q99758"
ABCA3P1,HGNC:55707,ENSG00000257408,,ENSG00000257408
ABCA4,HGNC:34,ENSG00000198691,P78363,"ABCR,ARMD2,CORD3,ENSG00000198691,FFM,P78363,RP19,STGD,STGD1"
ABCA5,HGNC:35,ENSG00000154265,Q8WWZ7,"ENSG00000154265,EST90625,Q8WWZ7"
ABCA6,HGNC:36,ENSG00000154262,Q8N139,"ENSG00000154262,EST155051,Q8N139"
ABCA7,HGNC:37,ENSG00000064687,Q8IZY2,"ABCX,ENSG00000064687,Q8IZY2"
ABCA8,HGNC:38,ENSG00000141338,O94911,"ENSG00000141338,KIAA0822,O94911"
ABCA9,HGNC:39,ENSG00000154258,Q8IUA7,"ENSG00000154258,EST640918,Q8IUA7"
ABCA9-AS1,HGNC:39983,ENSG00000231749,,ENSG00000231749
ABCA10,HGNC:30,ENSG00000154263,Q8WWZ4,"ENSG00000154263,EST698739,Q8WWZ4"
ABCA11P,HGNC:31,ENSG00000251595,,"ABCA11,ENSG00000251595,EST1133530,FLJ14297"
ABCA12,HGNC:14637,ENSG00000144452,Q86UK0,"DKFZP434G232,ENSG00000144452,ICR2B,LI2,Q86UK0"
ABCA13,HGNC:14638,ENSG00000179869,Q86UQ4,"ENSG00000179869,FLJ33876,FLJ33951,Q86UQ4"
ABCA15P,HGNC:34405,ENSG00000189149,,"CRYM-AS1,ENSG00000189149,FLJ41766,NCRNA00169"
ABCA17P,HGNC:32972,ENSG00000238098,,ENSG00000238098
ABCB1,HGNC:40,ENSG00000085563,P08183,"ABC20,CD243,CLCS,ENSG00000085563,GP170,MDR1,P-gp,P08183,PGY1,p-170"
ABCB4,HGNC:45,ENSG00000005471,P21439,"ENSG00000005471,GBD1,MDR2,MDR3,P21439,PFIC-3,PGY3"
ABCB5,HGNC:46,ENSG00000004846,Q2M3G0,"ABCB5alpha,ABCB5beta,ENSG00000004846,EST422562,Q2M3G0"
ABCB6,HGNC:47,ENSG00000115657,Q9NP58,"ENSG00000115657,EST45597,MTABC3,Q9NP58,umat"
ABCB7,HGNC:48,ENSG00000131269,O75027,"ABC7,ASAT,Atm1p,ENSG00000131269,EST140535,O75027"
ABCB8,HGNC:49,ENSG00000197150,Q9NUT2,"ENSG00000197150,EST328128,M-ABC1,MABC1,MITOSUR,Q9NUT2"
ABCB9,HGNC:50,ENSG00000150967,Q9NP78,"ENSG00000150967,EST122234,Q9NP78"
ABCB10,HGNC:41,ENSG00000135776,Q9NRK6,"ENSG00000135776,EST20237,M-ABC2,MTABC2,Q9NRK6"
ABCB10P1,HGNC:14114,ENSG00000274099,,"ABCB10P,ABCB10P2,ENSG00000274099,M-ABC2,MABC2"
ABCB10P3,HGNC:31129,ENSG00000261524,,ENSG00000261524
ABCB10P4,HGNC:31130,ENSG00000260053,,ENSG00000260053
ABCB11,HGNC:42,ENSG00000073734,O95342,"ABC16,BSEP,ENSG00000073734,O95342,PFIC-2,PFIC2,PGY4,SPGP"
